entry,stop,risk,rr,res,pnl,r,bars_held,i_entry,n,day,level,target
4173.75,4167.75,6.0,1.6666666666666667,TARGET,10.0,1.5833333333333333,9,57,130,2021-04-29,PDL,10.0
4171.25,4167.25,4.0,2.5,STOP,-4.0,-1.125,34,91,130,2021-04-30,PDL,10.0
4107.25,4100.0,7.25,1.3793103448275863,STOP,-7.25,-1.0689655172413792,1,22,130,2021-05-12,PDL,10.0
4140.0,4133.75,6.25,1.6,STOP,-6.25,-1.08,19,107,130,2021-05-18,PDL,10.0
4195.0,4185.25,9.75,1.0256410256410255,TARGET,10.0,0.9743589743589743,8,62,130,2021-06-17,PDL,10.0
4364.75,4354.25,10.5,0.9523809523809523,TARGET,10.0,0.9047619047619048,44,51,130,2021-07-14,PDL,10.0
4359.0,4344.75,14.25,0.7017543859649122,STOP,-14.25,-1.0350877192982457,65,9,130,2021-07-15,PDL,10.0
4333.75,4331.5,2.25,4.444444444444445,STOP,-2.25,-1.2222222222222223,2,92,130,2021-07-16,PDL,10.0
4399.25,4389.75,9.5,1.0526315789473684,STOP,-9.5,-1.0526315789473684,7,7,130,2021-07-27,PDL,10.0
4424.25,4416.5,7.75,1.2903225806451613,FLAT,1.25,0.0967741935483871,124,5,130,2021-08-09,PDL,10.0
4434.25,4430.25,4.0,2.5,STOP,-4.0,-1.125,4,52,130,2021-08-17,PDL,10.0
4524.75,4521.0,3.75,2.6666666666666665,STOP,-3.75,-1.1333333333333333,3,4,130,2021-09-03,PDL,10.0
4511.75,4506.75,5.0,2.0,STOP,-5.0,-1.1,18,3,130,2021-09-08,PDL,10.0
4451.0,4442.0,9.0,1.1111111111111112,STOP,-9.0,-1.0555555555555556,48,38,130,2021-09-13,PDL,10.0
4438.0,4433.5,4.5,2.2222222222222223,STOP,-4.5,-1.1111111111111112,21,75,130,2021-09-14,PDL,10.0
4436.5,4430.25,6.25,1.6,STOP,-6.25,-1.08,6,17,130,2021-09-17,PDL,10.0
4346.25,4338.5,7.75,1.2903225806451613,TARGET,10.0,1.2258064516129032,3,32,130,2021-09-30,PDL,10.0
4304.25,4292.75,11.5,0.8695652173913043,STOP,-11.5,-1.0434782608695652,5,10,130,2021-10-01,PDL,10.0
4284.5,4274.75,9.75,1.0256410256410255,STOP,-9.75,-1.0512820512820513,12,29,130,2021-10-04,PDL,10.0
4392.5,4383.5,9.0,1.1111111111111112,STOP,-9.0,-1.0555555555555556,55,4,130,2021-10-08,PDL,10.0
4378.75,4373.25,5.5,1.8181818181818181,TARGET,10.0,1.7272727272727273,3,2,130,2021-10-11,PDL,10.0
4352.75,4338.75,14.0,0.7142857142857143,TARGET,10.0,0.6785714285714286,42,8,130,2021-10-12,PDL,10.0
4333.75,4330.5,3.25,3.076923076923077,STOP,-3.25,-1.1538461538461537,3,10,130,2021-10-13,PDL,10.0
4450.75,4436.5,14.25,0.7017543859649122,TARGET,10.0,0.6666666666666666,7,4,130,2021-10-18,PDL,10.0
4519.0,4515.25,3.75,2.6666666666666665,STOP,-3.75,-1.1333333333333333,2,44,130,2021-10-22,PDL,10.0
4566.0,4557.75,8.25,1.2121212121212122,TARGET,10.0,1.1515151515151516,7,3,130,2021-10-27,PDL,10.0
4665.25,4657.75,7.5,1.3333333333333333,TARGET,10.0,1.2666666666666666,5,4,130,2021-11-10,PDL,10.0
4679.75,4667.75,12.0,0.8333333333333334,TARGET,10.0,0.7916666666666666,12,29,130,2021-11-18,PDL,10.0
4681.25,4666.75,14.5,0.6896551724137931,TARGET,10.0,0.6551724137931034,2,4,130,2021-11-23,PDL,10.0
4621.5,4614.25,7.25,1.3793103448275863,TARGET,10.0,1.3103448275862069,3,5,130,2021-11-30,PDL,10.0
4511.5,4504.0,7.5,1.3333333333333333,TARGET,10.0,1.2666666666666666,4,52,130,2021-12-03,PDL,10.0
4778.0,4769.75,8.25,1.2121212121212122,TARGET,10.0,1.1515151515151516,98,17,130,2021-12-29,PDL,10.0
4776.25,4764.75,11.5,0.8695652173913043,STOP,-11.5,-1.0434782608695652,7,2,130,2021-12-31,PDL,10.0
4766.5,4761.0,5.5,1.8181818181818181,TARGET,10.0,1.7272727272727273,14,76,130,2022-01-05,PDL,10.0
4668.5,4653.5,15.0,0.6666666666666666,TARGET,10.0,0.6333333333333333,8,38,130,2022-01-07,PDL,10.0
4563.25,4554.0,9.25,1.0810810810810811,TARGET,10.0,1.027027027027027,9,39,130,2022-01-19,PDL,10.0
4466.25,4456.0,10.25,0.975609756097561,TARGET,10.0,0.926829268292683,3,12,130,2022-02-08,PDL,10.0
4483.75,4472.25,11.5,0.8695652173913043,STOP,-11.5,-1.0434782608695652,19,48,130,2022-02-11,PDL,10.0
4397.5,4384.75,12.75,0.7843137254901961,STOP,-12.75,-1.0392156862745099,1,14,130,2022-02-14,PDL,10.0
4436.25,4425.75,10.5,0.9523809523809523,STOP,-10.5,-1.0476190476190477,34,27,130,2022-02-16,PDL,10.0
4377.0,4362.25,14.75,0.6779661016949152,TARGET,10.0,0.6440677966101694,2,6,130,2022-02-18,PDL,10.0
