tape,tf,sess,trend,W,U,buf,tgt,dolk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,SLOPE,1.0,0.5,2,R1,5,1518,-0.09135352251784072,-138.67464718208223,0.5098814229249012,0.5,0.00988142292490124,1.0,13.25,-3.536400267819621,-0.11517200846176852,-0.06759771680008114,-0.09348208597679573,0.0
2023-26,1,NY,SLOPE,1.0,0.5,2,R2,5,1518,-0.08213429217089296,-124.67985551541551,0.3425559947299078,0.3333333333333333,0.00922266139657446,2.0,13.25,-2.2369402748463507,-0.15870762851453893,-0.005762464607098684,-0.08622393881219129,0.0006587615283267457
2023-26,1,NY,SLOPE,1.0,0.5,2,R3,5,1518,-0.0300718251612882,-45.64903059483549,0.26811594202898553,0.25,0.018115942028985532,3.0,13.25,-0.658202919218148,-0.12446145539872115,0.06406941131236203,-0.03603857582831001,0.0032938076416337285
2023-26,1,NY,SLOPE,1.0,0.5,2,DOL,5,1518,-0.10435752336601176,-158.41472046960584,0.3820816864295125,0.3949312190824693,-0.012849532652956797,1.5320864790665751,13.25,-2.885328867248246,-0.16119694780168597,-0.04766767636306302,-0.11564005784084702,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R1,5,854,-0.08845731656854858,-75.54254834954048,0.5140515222482436,0.5,0.014051522248243575,1.0,12.5,-2.5675747917887444,-0.1044475962727165,-0.07246703686438061,-0.09223135483591985,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R2,5,854,-0.07674771469501228,-65.54254834954048,0.34660421545667447,0.3333333333333333,0.013270882123341154,2.0,12.5,-1.5625269340329009,-0.14191832226803267,-0.011577107121991843,-0.08400573791465062,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R3,5,854,-0.026353376631918182,-22.505783643658127,0.2716627634660422,0.25,0.02166276346604218,3.0,12.5,-0.430646084214651,-0.13723448151861814,0.08452772825478179,-0.03695901088071142,0.00117096018735363
2023-26,1,NY,SLOPE,2.0,0.5,2,DOL,5,854,-0.10415658789912693,-88.9497260658544,0.3700234192037471,0.37209302325581395,-0.0020696040520668535,1.6875,12.5,-2.079046557010307,-0.18179190097295697,-0.02652127482529694,-0.12424170766760503,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R1,5,959,-0.09455797564854514,-90.68109864695478,0.5099061522419187,0.5,0.009906152241918709,1.0,12.75,-2.90236667321011,-0.10314722885086544,-0.08602229367201891,-0.09793600516225859,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R2,5,959,-0.0601471310187224,-57.68109864695478,0.35140771637122004,0.3333333333333333,0.01807438303788672,2.0,12.75,-1.2940997310781366,-0.09896312843245539,-0.02157322922295449,-0.06655182731378095,0.0
