tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2023-07-03,2023-07-03 09:30:00,59175,1,15367.0,25.25,STOP,-1.0297029702970297,-62.0,-0.01215686274509804,253.0,0.02812673707615342,0.5669816564758199,7.5036496350364965,
2023-26,2023-07-03,2023-07-03 09:36:00,59177,1,15362.0,25.25,STOP,-1.0297029702970297,-16.0,-0.002926115581565472,30.0,0.005170630816959669,0.9424336435711823,3.4678142370450065,
2023-26,2023-07-03,2023-07-03 10:00:00,59185,1,15378.5,16.0,STOP,-1.046875,-55.0,-0.04950495049504951,288.0,0.06489409643983776,0.25033799008562413,1.4609978108076966,
2023-26,2023-07-06,2023-07-06 09:30:00,60400,-1,15187.0,27.75,FLAT,1.4774774774774775,-190.0,-0.014457464617257648,413.0,0.023560956129841975,0.7497290204803468,4.857225986117461,
2023-26,2023-07-07,2023-07-07 09:30:00,60860,1,15233.5,34.0,STOP,-1.0220588235294117,-283.0,-0.036408079248681335,174.0,0.015183246073298429,0.6782722513089006,3.209005376344086,
2023-26,2023-07-13,2023-07-13 09:30:00,62700,1,15583.5,31.75,FLAT,0.3543307086614173,235.0,0.029978313560403112,345.0,0.024612969965042447,0.559249482770921,6.608986750907634,
2023-26,2023-07-13,2023-07-13 10:15:00,62715,1,15594.0,13.0,STOP,-1.0576923076923077,-143.0,-0.08251586843623773,-52.0,-0.014130434782608696,0.47092391304347825,0.6775853656291141,
2023-26,2023-07-17,2023-07-17 09:48:00,63626,1,15728.25,15.25,STOP,-1.0491803278688525,-320.0,-0.0709849157054126,-340.0,-0.05337519623233909,0.7076923076923077,1.815202678635036,
2023-26,2023-07-17,2023-07-17 09:51:00,63627,1,15732.75,24.5,FLAT,2.683673469387755,-138.0,-0.026047565118912798,-28.0,-0.004205467107239411,0.7957344547912286,1.742133839209786,
2023-26,2023-07-21,2023-07-21 09:45:00,65465,-1,15665.75,39.75,FLAT,1.6415094339622642,-303.0,-0.042336174374738016,-17.0,-0.0018114011720831112,0.7625998934469899,2.3713267807059655,
2023-26,2023-07-24,2023-07-24 09:39:00,65923,1,15601.0,26.75,STOP,-1.02803738317757,-43.0,-0.014977359804946012,220.0,0.024977293369663943,0.32595367847411444,3.6654944963482388,
2023-26,2023-07-25,2023-07-25 10:18:00,66396,1,15648.0,16.5,STOP,-1.0454545454545454,-149.0,-0.058317025440313114,95.0,0.02520562483417352,0.6778986468559299,0.6799751030606997,
2023-26,2023-07-26,2023-07-26 10:24:00,66858,-1,15609.25,18.75,TARGET,2.96,10.0,0.0036576444769568397,218.0,0.056948798328108674,0.7142110762800418,0.6236609943059165,
